EF41,TAETIGKEITSSCHLUESSEL4
53,2
52,2
52,2
52,2
53,2
50,2
50,2
51,2
50,2
51,2
51,2
59,2
60,2
56,2
60,2
60,2
57,2
58,2
58,2
37,2
36,2
36,2
37,2
37,2
34,2
46,2
47,2
45,2
45,2
45,2
52,1
53,1
53,1
53,1
53,1
55,1
55,1
55,1
55,1
50,1
51,1
51,1
50,1
60,1
60,1
60,1
60,1
60,1
57,1
60,1
45,1
45,1
45,1
45,1
45,1
45,1
46,1
47,1
47,1
46,1
47,1
47,1
46,1
47,1
46,1
40,1
41,1
40,1
40,1
40,1
40,1
41,1
40,1
40,1
40,1
41,1
36,1
37,1
37,1
37,1
37,1
36,1
37,1
36,1
36,1
18,1
18,1
18,1
18,1
18,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
25,1
28,1
30,1
29,1
31,1
29,1
31,1
26,2
31,2
28,2
28,2
29,2
31,2
24,2
26,2
30,2
25,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
